Name,Description,Recipe,photo_url
Mojito,"If there is one cocktail to divide opinion, it is surely the omnipresent Mojito cocktail. Some say it is a pain in the arse to make, is too frequently made badly, and is the mascot for unadventurous drinkers everywhere. Others say it is a refreshing and easy drinking cocktail that has introduced millions to the wonders of the mixed drink. Whatever side of the fence you sit on, it’s certainly helped line the pockets of a few mint-growers.",Add the white rum to a highball glass. Add 8 – 10 mint leaves and sugar syrup and lime juice.Muddle with bar spoon. Add crushed ice and a splash of soda. Mix drink down with bar spoon. Taste. Top up with more crushed ice. Slap 2 mint sprigs to release essence and put into drink. Add small splash of soda and straw.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901168/rss44ywopua4vrluaf0o.jpg
Pina Colada,The classic Pina Colada is perhaps our very favourite of all the Tiki-style family of drinks.Creamy and tropical flavours don’t work much better than this!,"Chill highball glass. Add all ingredients to mixing tin and fill with ice. Shake vigorously for 10 – 15 seconds. Fill highball glass with fresh ice and strain drink into glass. Garnish with pineapple slice, add straw and serve.",http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901169/w3c17nmfthbekkvi7fgf.jpg
Martini,"Some would argue that the Martini Cocktail is the greatest cocktail of them all and certainly the most iconic. The Martini cocktail is quite a simple cocktail in theory, made with just gin & vermouth and garnished either with an olive or a lemon twist.The challenge in making a good Martini is knowing what ratio of gin and vermouth to use and this will often come down to the preference of the drinker. Legend has it that Winston Churchill was said to whisper the word “vermouth” to a freshly poured glass of gin. The Martini can be shaken or stirred although, despite the best efforts of 007, it is general advocated stirring produces the superior cocktail.","Chill martini glass with soda water and ice. Fill mixing glass to top with ice. Add the dry vermouth to the mixing glass, giving a small stir to coat the ice with the vermouth. Drain out glass, leaving just the coating on the ice. Add the gin to the mixing glass. Stir for 15 seconds, always making sure that the glass is full to the brim with ice. Taste. Fine strain into chilled martini glass. Zest with lemon peel and add twist unto drink.",http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901170/s2cx3riofrxu9gv6otut.jpg
Old fashioned,"A firm favourite at Social and Cocktail HQ, made properly, this is the taste of cocktail heaven!",Begin by chilling rocks glass with ice and soda water. Add 1 bar spoon of sugar into mixing glass. Add 2 dashes of Angostura bitters and 1 dash of orange bitters. Muddle to break down the sugar into a paste. Add the bourbon into a mixing glass and fill the rest of the mixing glass with ice. Stir with bar spoon for at least 20 seconds. Top up with ice and taste. Put ice into rocks glass and strain the drink into the glass. Zest the glass with orange peel and add twist into drink.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901172/ursz4pbebekvxvivbrg8.jpg
Daiquiri,"The classic daiquiri is actually a simple drink to prepare, using just three ingredients. Sweet and tart, this is still one of the best concoctions you can make.","Chill coupe glass with soda water. Add sugar to mixing tin and then add white rum and lime juice. Add a little cracked ice to the bottom then fill the rest of the tin with ice. Shake for 10 – 15 seconds, taste and then fine strain into coupe glass. Garnish glass with lime slice.",http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901173/ttgmxnpnp39ssuqc8gxe.jpg
Caipirinha,"To make a Caipirinha you need Cachaca, and to make Cachaca you need sugar cane juice. Which is important, because it is what makes Cachaca a Cachaca, and not a rum. After that it follows a pretty similar path to rum, with the juice being fermented and then this liquid distilled. Sometimes the distilled liquid is popped in a barrel to go all smooth for sipping, but that’s no good for a Caipirinha where it’s all about the raw funky flavors.","Cut 1/2 lime into 1/8 ths and add half of these to Rocks glass. Add teaspoon of brown sugar and muddle the ingredients. Add the rest of the lime and continue to muddle, to dissolve the sugar. Add the Cachaca and then add crushed ice on top. Stir to continue to dissolve the sugar. Add more crushed ice and continue to stir. Top up with crushed ice and garnish with lime wedge.",http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901174/zhio09iam8dtgftgybc0.jpg
Cosmopolitan,"The Cosmopolitan Cocktail is a colourful, fruity concoction made with citron vodka, triple sec, cranberry juice and freshly squeezed lime juice. The drink is often served with a flamed orange twist garnish and served up in a martini glass. The Cosmopolitan has become a mainstay in most cocktail bars and its popularity exploded in the 90`s mainly due to its role in the popular American TV series, Sex and the City.",Chill coupe glass with soda water. Add all ingredients to mixing tin with ice. Shake for 10 to 15 seconds. Fine strain into the chilled coupe glass. Flame an orange peel and place in drink as garnish.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901176/zszoh47eeickdrf1ks4b.jpg
White Russian,"This White Russian recipe  is one of the most popular of all cocktails, and with good reason. It has a deep, smooth flavour and is the perfect drink to kick back and relax with.",For the perfect White Russian recipe add coffee liqueur to an old-fashioned glass. Add other ingredients to mixing tin and fill to brim with ice. Shake for 10 -15 seconds. Single strain the ingredients over the ice and coffee liqueur. Sprinkle with chocolate powder and garnish with coffee bean.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901177/tx7evrrb1ljsjch9qbwb.jpg
Bramble,"The pairing of the gin, blackberry and lemon comes together to create a light tasting and refreshing cocktail which has long been one of our favourites at Social and Cocktail HQ.",Add all ingredients (except creme de mure) into mixing glass. Fill  mixing glass with cubed ice and fill rocks glass with crushed ice. Shake for 10 seconds. Strain mixture into glass and top up with crushed ice. Pour creme de mure over drink using bar spoon. Garnish with 2 lemon slices and blackberry.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901178/rvwgwdyowyffq38wg4rj.jpg
Margarita,"If there is one cocktail which I have been served more bad versions of than any other, it is the Margarita cocktail. The simple mix of tequila, Cointreau and lime juice just should’t be that hard to mess up, but many do, disgracefully so. Often considered one of ‘the classics’, with several different stories laying claim to its creation, it is in fact pre-dated in written reference at least by a cocktail with the same recipe as the classic Margarita, but named the Picador and dating back to the 1930s. Even this may not be the true origins, for the idea of mixing spirit with citrus juice and sugar has been recorded as early as early as 1866.",Begin by half soaking rim of coupe glass with lime juice and then dab in salt. Use cloth to tidy up the glass for presentation. Add all ingredients into mixing tin with 2 ice cubes and dry shake for 10 seconds. Fill mixing tin with ice and shake for a further 10 – 15 seconds. Fine strain into the pre-prepared coupe glass.,http://res.cloudinary.com/dohmz3y7y/image/upload/v1519901180/vtoweta7wtpcucdkqzbl.jpg
